EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,TotalWorkingYears,YearsAtCompany,JobSatisfaction,WorkLifeBalance,JobInvolvement,TenureCategory,SalaryCategory
1,41,1,Rarely,Sales,1,2,"Life Sciences",F,"Sales Executive",S,5993,8,1,8,6,4,1,3,Medium-Term,Medium
2,49,0,Frequently,"Research & Development",8,1,"Life Sciences",M,"Research Scientist",M,5130,1,0,10,10,2,3,2,Long-Term,Medium
3,37,1,Rarely,"Research & Development",2,2,Other,M,"Laboratory Technician",S,2090,6,1,7,0,3,3,2,Short-Term,Low
4,33,0,Frequently,"Research & Development",3,4,"Life Sciences",F,"Research Scientist",M,2909,1,1,8,8,3,3,3,Long-Term,Low
5,27,0,Rarely,"Research & Development",2,1,Medical,M,"Laboratory Technician",M,3468,9,0,6,2,2,3,3,Short-Term,Medium
6,32,0,Frequently,"Research & Development",2,2,"Life Sciences",M,"Laboratory Technician",S,3068,0,0,8,7,4,2,3,Medium-Term,Medium
7,59,0,Rarely,"Research & Development",3,3,Medical,F,"Laboratory Technician",M,2670,4,1,12,1,1,2,4,Short-Term,Low
8,30,0,Rarely,"Research & Development",24,1,"Life Sciences",M,"Laboratory Technician",D,2693,1,0,1,1,3,3,3,Short-Term,Low
9,38,0,Frequently,"Research & Development",23,3,"Life Sciences",M,"Manufacturing Director",S,9526,0,0,10,9,3,3,2,Long-Term,High
10,36,0,Rarely,"Research & Development",27,3,Medical,M,"Healthcare Representative",M,5237,6,0,17,7,3,2,3,Medium-Term,Medium
11,35,0,Rarely,"Research & Development",16,3,Medical,M,"Laboratory Technician",M,2426,0,0,6,5,2,3,4,Medium-Term,Low
12,29,0,Rarely,"Research & Development",15,2,"Life Sciences",F,"Laboratory Technician",S,4193,0,1,10,9,3,3,2,Long-Term,Medium
13,31,0,Rarely,"Research & Development",26,1,"Life Sciences",M,"Research Scientist",D,2911,1,0,5,5,3,2,3,Medium-Term,Low
14,34,0,Rarely,"Research & Development",19,2,Medical,M,"Laboratory Technician",D,2661,0,0,3,2,4,3,3,Short-Term,Low
15,28,1,Rarely,"Research & Development",24,3,"Life Sciences",M,"Laboratory Technician",S,2028,5,1,6,4,3,3,2,Medium-Term,Low
